year_id,location_name,event,cat_ce
1998,Philippines, Forest Fires ,High
1997,Indonesia, Drought ,High
1997,Myanmar, Floods ,Medium
1997,Indonesia, Volcanic Eruptions ,High
1996,Malaysia, Tropical Storm Greg ,Low
1996,Cambodia, Floods ,Low
1996,Lao PDR, Floods ,Low
1996,Philippines, Typhoon Gloria ,High
1996,Philippines, Spill of Copper Mine Waste ,High
1996,Indonesia, Earthquake ,High
1996,Indonesia, Earthquake ,High
1995,Philippines, Typhoon Angela ,High
1995,Thailand, Floods ,Medium
1995,Philippines, Tropical Storm Zack ,High
1995,Philippines, Tropical Storm Sybil ,High
1995,Indonesia, Earthquake ,High
1995,Myanmar, Floods ,Medium
1995,Lao PDR, Floods ,Low
1995,Philippines, Floods ,High
1995,Indonesia, Earthquake ,High
1995,Indonesia, Floods ,High
1995,Myanmar, Fire ,Medium
1995,Philippines, Earthquake ,High
1995,Indonesia, Earthquake ,High
1995,Lao PDR, Cholera Epidemic ,Low
1994,Indonesia, Volcanic Eruption ,High
1994,Indonesia, Lahar ,High
1994,Indonesia, Earthquake ,High
1994,Indonesia, Earthquake/Tsunami ,High
1994,Philippines, Typhoon Teresa ,High
1994,Philippines, Tropical Depression Weling ,High
1994,Cambodia, Floods ,Low
1994,Philippines, Typhoons Tim and Vanessa ,High
1994,Philippines, Tropical Storm Yunya ,High
1994,Indonesia, Earthquake/Tsunami ,High
1994,Philippines, Tropical Strom Gading ,High
1994,Myanmar, Cyclone ,Medium
1994,Indonesia, East Java Floods ,High
1994,Philippines, Tropical Storm Owen ,High
1994,Indonesia, Earthquake ,High
1994,Indonesia, Earthquake ,High
1994,Philippines, Tropical Storm Akang ,High
1993,Malaysia, Floods ,Low
1993,Philippines, Typhoons Lola and Manny ,High
1993,Philippines, Typhoon Nell ,High
1993,Philippines, Typhoon Flo ,High
1993,Philippines, Floods ,High
1993,Philippines, Typhoon Koryn ,High
1993,Indonesia, Floods ,High
1993,Philippines, Volcanic Eruption ,High
1992,Indonesia, Earthquake ,High
1992,Indonesia, Landslides ,High
1992,Philippines, Taal Volcano Alert ,High
1991,Philippines, Floods ,High
1991,Indonesia, Volcanic Eruption ,High
1991,Philippines, Earthquake ,High
1991,Cambodia, Flood Emergency ,Low
1991,Myanmar, Floods ,Medium
1991,Indonesia, Earthquake ,High
1991,Indonesia, Earthquake ,High
1991,Philippines, Mt. Pinatubo Volcano ,High
1991,Myanmar, Fires ,Medium
1991,Myanmar, Earthquake ,Medium
1990,Philippines, Typhoon Mike ,High
1990,Philippines, Earthquake ,High
1990,Philippines, Typhoons ,High
1990,Philippines, Earthquake ,High
1990,Philippines, Floods ,High
1990,Indonesia, Earthquake ,High
1990,Indonesia, Volcanic Eruption ,High
1990,Philippines, Earthquake ,High
1990,Indonesia, Floods and Landslides ,High
1989,Philippines, Typhoon ,High
1989,Myanmar, Fire ,Medium
1989,Indonesia, Earthquake ,High
1989,Philippines, Typhoon ,High
1989,Myanmar, Fire ,Medium
1989,Philippines, Floods ,High
1989,Indonesia, Floods and Landslides ,High
1988,Philippines, Typhoon ,High
1988,Thailand, Floods and Mudslides ,Medium
1988,Myanmar, Fire ,Medium
1987,Indonesia, Earthquake ,High
1987,Philippines, Typhoon ,High
1987,Indonesia, Floods ,High
1987,Indonesia, Heavy Rains/Floods ,High
1987,Indonesia, Earthquake ,High
1987,Myanmar, Fire ,Medium
1986,Philippines, Typhoon ,High
1986,Philippines, Typhoon ,High
1986,Myanmar, Fire ,Medium
1985,Philippines, Typhoon ,High
1985,Philippines, Typhoon ,High
1984,Indonesia, Volcanic Eruption ,High
1984,Philippines, Volcanic Eruption ,High
1984,Philippines, Typhoons ,High
1984,Indonesia, Volcanic Eruption ,High
1984,Indonesia, Earthquake ,High
1984,Indonesia, Mt. Merapi Volcanic Eruption ,High
1984,Indonesia, Mt. Soputan Volcanic Eruption ,High
1984,Myanmar, Fire ,Medium
1984,Myanmar, Fire ,Medium
1984,Indonesia, Floods and Landslides ,High
